total_timesteps,value_loss,policy_entropy,clipfrac,serial_timesteps,time_elapsed,policy_loss,approxkl,explained_variance,fps,n_updates,ep_len_mean,ep_reward_mean
385280,0.02012172,0.048055533,0.0009765625,24080,69.07315492630005,-0.00011937157,7.841075e-05,0.9731805734336376,7884,1505,124.17,-124.17
385536,0.0156373,0.039035536,0.0009765625,24096,69.10588908195496,-0.00020183882,7.2746145e-05,0.979853929951787,7924,1506,124.17,-124.17
385792,0.015292666,0.030537734,0.0,24112,69.13849592208862,-0.001323097,2.7781685e-05,0.9850841164588928,7866,1507,124.34,-124.34
386048,0.019276608,0.031263925,0.010253906,24128,69.17130398750305,-0.0015116158,0.0015806019,0.9841362182050943,7859,1508,124.34,-124.34
386304,0.013704683,0.040048543,0.0,24144,69.20413279533386,-0.0002442943,9.1826805e-06,0.9855748666450381,7899,1509,124.34,-124.34
386560,0.027183495,0.032503847,0.0,24160,69.23682188987732,-6.254064e-06,2.270819e-05,0.9763708412647247,7293,1510,124.36,-124.36
386816,0.017607644,0.02583228,0.0009765625,24176,69.27219200134277,-0.0005489442,8.013498e-05,0.986580184660852,7899,1511,124.89,-124.89
387072,0.013715155,0.05842803,0.008300781,24192,69.30490803718567,-0.0021942477,0.0006187202,0.9862027186900377,7979,1512,124.9,-124.9
387328,0.021114998,0.052745625,0.0,24208,69.33728885650635,-0.00020717655,0.00015632185,0.9819501284509897,7770,1513,125.54,-125.54
387584,0.025598682,0.023070728,0.0,24224,69.37050890922546,0.00016812596,1.2350874e-05,0.9815502148121595,7795,1514,125.17,-125.17
387840,0.019226363,0.06321851,0.0014648438,24240,69.40364003181458,-2.5064335e-05,0.0001612799,0.9811325371265411,7830,1515,125.45,-125.45
388096,0.007169275,0.041666772,0.0068359375,24256,69.43660497665405,-0.0005011569,0.00042932553,0.9936129804700613,7992,1516,125.45,-125.45
388352,0.009959128,0.044392057,0.0,24272,69.4689028263092,3.0540396e-06,1.1605119e-05,0.9901707842946053,7770,1517,124.73,-124.73
388608,0.023164893,0.0075687957,0.0009765625,24288,69.50211691856384,-0.0004709044,4.1342828e-05,0.9639554508030415,7829,1518,124.73,-124.73
388864,0.23464954,0.059527617,0.001953125,24304,69.53508567810059,-0.00059339835,0.0001425322,0.7608081251382828,7858,1519,124.49,-124.49
389120,0.011735409,0.04378876,0.0,24320,69.56792688369751,3.147754e-05,6.4875826e-07,0.9901696797460318,7777,1520,125.33,-125.33
389376,0.013735942,0.026969416,0.0009765625,24336,69.6011369228363,-0.00085355726,9.15348e-05,0.9929614416323602,7799,1521,125.38,-125.38
389632,0.012320147,0.078616746,0.0,24352,69.63425302505493,-0.00066924514,2.551795e-05,0.9931100597605109,7914,1522,124.86,-124.86
389888,0.010255989,0.021891994,0.0,24368,69.66689682006836,-0.0004309176,5.0279297e-05,0.9923805939033628,7962,1523,124.86,-124.86
